StopCode,StopName,Country,StopLat,StopLng
KKM,Köln-Mülheim,D,50.958056,7.013333
KZ,Koog aan de Zaan,NL,52.458610534668,4.8055553436279
KMW,Koudum-Molkwerum,NL,52.9028197,5.4106913
ODENS,Københavns Lufthavn St,DK,55.63,12.649167
KBD,Krabbendijke,NL,51.433334350586,4.1169443130493
KMA,Krommenie-Assendelft,NL,52.49511,4.75417
KW,Kropswolde,NL,53.1617362,6.7220882
KRG,Kruiningen-Yerseke,NL,51.465000152588,4.0372223854065
KUFST,Kufstein,A,47.5831,12.16568
ZLW,Lage Zwaluwe,NL,51.69111251831,4.6630554199219
LG,Landgraaf,NL,50.896389007568,6.019166469574
LANDRY,Landry,F,45.57414,6.73378
LLZM,Lansingerland-Zoetermeer,NL,52.042222,4.517222
LEER,Leer (Ostfriesl),D,53.23165,7.465283
LDM,Leerdam,NL,51.894721984863,5.0913887023926
LW,Leeuwarden,NL,53.195835113525,5.7922220230103
LWC,Leeuwarden Camminghaburen,NL,53.2021808,5.8422968
ELGD,Legden,D,52.034924,7.088538
LEDN,Leiden Centraal,NL,52.166110992432,4.4816665649414
LDL,Leiden Lammenschans,NL,52.146945953369,4.4924998283386
LLS,Lelystad Centrum,NL,52.507778167725,5.4727778434753
ELET,Lette (Kr Coesfeld),D,51.8925,7.187
LEUVEN,Leuven,B,50.88136,4.71568
LTV,Lichtenvoorde-Groenlo,NL,52.01188,6.59641
FLJ,Liège-Carré,B,50.64051,5.56197
LUIK,Liège-Guillemins,B,50.62436,5.56648
FLGP,Liège-Saint-Lambert,B,50.64648,5.57072
LSL,Liers,B,50.69822,5.56848
LILLEE,Lille Europe,F,50.639444,3.074722
FLB,Limburg Süd,D,50.382498,8.096112
LINZ,Linz Hbf,A,48.29018,14.29213
LC,Lochem,NL,52.166667938232,6.4263887405395
FLK,Lokeren,B,51.107222,3.985833
STP,London St. Pancras Int.,GB,51.531437,-0.126136
LP,Loppersum,NL,53.3347145,6.7472625
ELDH,Lüdinghausen,D,51.76184,7.43165
ELUE,Lünen Hbf,D,51.61713,7.52949
LTN,Lunteren,NL,52.085277557373,5.6244444847107
MZ,Maarheeze,NL,51.304986,5.629796
MRN,Maarn,NL,52.064167022705,5.3699998855591
MAS,Maarssen,NL,52.135276794434,5.0336112976074
MT,Maastricht,NL,50.850276947021,5.7055554389954
MTN,Maastricht Noord,NL,50.87087,5.71774
MTR,Maastricht Randwyck,NL,50.838611602783,5.7172222137451
FMZ,Mainz Hbf,D,50.001117,8.25872
RINGS,Malmö Central,S,55.609444,13.000833
MANNHE,Mannheim Hbf,D,49.479354,8.468921
MG,Mantgum,NL,53.1296368,5.7131996
